country,fitness,degree_actual,degree_predicted,degree_error,relative_error
ABW,4.018378562725806e-05,97,123.6737247466227,26.673724746622696,0.27498685305796594
AFG,0.00023825764346373438,138,163.2219416712209,25.22194167122089,0.1827676932697166
AGO,0.0012798757132331995,175,185.73039754241327,10.730397542413272,0.0613165573852187
ALB,0.00016181295421349126,166,155.88712663971248,-10.112873360287523,-0.06092092385715375
AND,4.543060683980011e-05,159,126.8221476118705,-32.177852388129494,-0.20237643011402198
ARE,0.004512227146427234,195,193.9140067964172,-1.0859932035828024,-0.0055691959158092426
ARG,0.008576842400128404,185,196.21667704440853,11.216677044408527,0.06063068672653258
ARM,0.00013210418219028081,160,151.73803531457705,-8.261964685422953,-0.05163727928389346
ASM,1.0666154300734618e-05,97,88.31945988884561,-8.680540111154386,-0.08949010423870501
ATG,2.1361831868817978e-05,142,106.93407152933675,-35.06592847066325,-0.2469431582441074
AUS,0.01838161570120455,196,197.93597103006294,1.9359710300629445,0.00987740321460686
AUT,0.005584920229741579,199,194.78597421390634,-4.214025786093657,-0.021176008975345013
AZE,0.0007446450692425324,155,180.12253959092138,25.122539590921377,0.16208090058658953
BDI,3.6854968193570784e-05,125,121.42933633655623,-3.570663663443767,-0.02856530930755014
BEL,0.006761249599812318,200,195.4728218926506,-4.527178107349414,-0.02263589053674707
BEN,0.00014111914483606232,155,153.1104932673297,-1.8895067326702986,-0.012190366017227732
BFA,0.000141029746668656,152,153.0974194604716,1.097419460471599,0.007219864871523677
BGD,0.0022286700547085427,194,190.06439313869132,-3.9356068613086848,-0.02028663330571487
BGR,0.000737743975857046,188,180.01307543417738,-7.986924565822619,-0.04248364130756712
BHR,0.0004236644355956003,181,172.64906458670345,-8.350935413296554,-0.0461377647143456
BHS,0.00017481355167819356,141,157.41384106292392,16.41384106292392,0.11641022030442498
BIH,0.00023545926521280038,183,163.00957633865605,-19.990423661343954,-0.10923728776690685
BLR,0.0008264686658252107,174,181.31720171001837,7.317201710018367,0.04205288339091015
BLZ,2.9506149433368913e-05,141,115.57582978455765,-25.424170215442345,-0.1803132639393074
BMU,0.00011705954501471038,145,149.16980304362747,4.169803043627468,0.028757262369844605
BOL,0.000392061134577677,174,171.48545728581774,-2.514542714182255,-0.01445139490909342
BRA,0.026427792566626293,198,198.4803605859231,0.4803605859231084,0.002426063565268224
BRB,9.388475984983126e-05,167,144.3064968851211,-22.693503114878894,-0.13588924020885565
BRN,0.0002016365789116324,152,160.1536726621494,8.153672662149404,0.0536425833036145
BTN,2.5897758248697262e-05,85,112.10029413020577,27.100294130205768,0.3188269897671267
BWA,0.00017617879382205996,158,157.56585164568335,-0.43414835431664756,-0.0027477743944091617
CAF,3.6193420331345804e-05,127,120.95674133554486,-6.043258664455138,-0.04758471389334754
CAN,0.021721181007162454,195,198.20447657893553,3.2044765789355267,0.016433213225310394
CHE,0.009873251509462602,200,196.6048949026201,-3.3951050973799113,-0.016975525486899557
CHL,0.003105757856596065,189,192.078562294689,3.078562294688993,0.016288689389888852
CHN,0.11966234195945069,197,199.61727765145824,2.617277651458238,0.013285673357656031
CIV,0.0005375638096048713,183,176.0156844926126,-6.984315507387407,-0.0381656585103137
CMR,0.0003939695898174716,171,171.55931824334627,0.5593182433462687,0.003270866920153618
COD,0.00042621643392003715,122,172.73782005709262,50.73782005709262,0.4158837709597756
COG,0.00016149065850993427,155,155.84733933665902,0.8473393366590187,0.005466705397800121
COL,0.0036229099555553043,192,192.88653183346693,0.8865318334669325,0.004617353299306941
COM,1.293107606690661e-05,119,93.43943144029387,-25.560568559706127,-0.2147946937790431
CPV,2.527044765104314e-05,131,111.44436661616975,-19.555633383830255,-0.14927964415137598
CRI,0.0007271030836756659,189,179.84135441550552,-9.15864558449448,-0.048458442246002535
CUB,0.0011774141090672653,150,184.9604640808056,34.96046408080559,0.23306976053870396
CYM,6.672245153791001e-05,96,136.34659931758807,40.34659931758807,0.42027707622487576
CYP,0.0003357924995051095,179,169.06065772158342,-9.939342278416575,-0.05552705183472947
CZE,0.002708738929480475,199,191.29567691533217,-7.704323084667834,-0.03871519138024037
DEU,0.04888785831956508,200,199.11759887228303,-0.8824011277169745,-0.004412005638584873
DMA,9.16148770183613e-06,147,84.32066762376498,-62.679332376235024,-0.4263900161648641
DNK,0.004408285590263253,200,193.8114414063475,-6.188558593652488,-0.03094279296826244
DOM,0.0008634531012504739,190,181.80202990416097,-8.197970095839025,-0.043147211030731714
DZA,0.0025025343716174593,175,190.8126969702879,15.812696970287902,0.09035826840164515
ECU,0.0011749204331266729,170,184.940471647978,14.940471647978,0.08788512734104706
EGY,0.004475823354886103,184,193.87852552740196,9.878525527401962,0.05368763873588023
ERI,3.2167529862077546e-05,105,117.86120413313947,12.861204133139466,0.12248765841085206
ESP,0.01862214804889685,199,197.95807261169665,-1.0419273883033497,-0.005235816021624873
EST,0.0003028404833365168,182,167.37064743248055,-14.629352567519447,-0.08038105806329367
ETH,0.0005927198195221882,169,177.30681378072646,8.306813780726458,0.049152744264653596
FIN,0.003624913438561758,199,192.8892979903148,-6.1107020096852125,-0.030707045274800063
FJI,6.035552705298655e-05,158,133.91544274724086,-24.08455725275914,-0.15243390666303253
FRA,0.035898835589176684,200,198.83643225831744,-1.1635677416825558,-0.0058178387084127795
FRO,3.196227662892397e-05,82,117.69229802251185,35.69229802251185,0.435271927103803
FSM,4.814058745661504e-06,75,68.0435869538064,-6.956413046193603,-0.09275217394924805
GAB,0.00017297412374362,155,157.2066506807813,2.2066506807813084,0.0142364560050407
GBR,0.04164858856280241,200,198.98050252278625,-1.019497477213747,-0.0050974873860687355
GEO,0.00018156659136858686,164,158.15154979466365,-5.8484502053363485,-0.035661281739855784
GHA,0.0005459934661764902,172,176.2248448020947,4.224844802094708,0.024563051174969232
GIN,0.00010900727666935735,136,147.62347956657413,11.623479566574133,0.08546676151892744
GMB,2.095720274791616e-05,149,106.41951045919522,-42.58048954080478,-0.2857750975892938
GNB,1.521260909234726e-05,85,97.79484807033782,12.794848070337821,0.15052762435691555
GNQ,0.00020267222291016587,103,160.25004182153828,57.250041821538275,0.5558256487527988
GRC,0.0037184893756822125,193,193.01581072828216,0.01581072828216179,8.192087192829943e-05
GRD,1.328169025662976e-05,142,94.1547266794619,-47.8452733205381,-0.33693854451083166
GRL,3.814366093630544e-05,125,122.32377219353684,-2.67622780646316,-0.021409822451705283
GTM,0.0007979849632670258,162,180.9216335245719,18.921633524571888,0.11680020694180178
GUM,8.434997183945567e-05,79,141.86546962329922,62.86546962329922,0.7957654382696103
GUY,5.65044458867156e-05,154,132.29544217486577,-21.70455782513423,-0.14093868717619631
HKG,0.004151605374080979,195,193.54046598850147,-1.4595340114985333,-0.0074847898025565815
HND,0.000273708056460881,159,165.65916370220106,6.659163702201056,0.041881532718245636
HRV,0.0007974935965392257,192,180.9146293322881,-11.085370667711913,-0.05773630556099955
HTI,0.0002004279500462951,133,160.04040442828438,27.040404428284376,0.20331131149085996
HUN,0.0017514659113264726,188,188.34156964590315,0.3415696459031494,0.0018168598186337735
IDN,0.01020763759516202,199,196.69152882937766,-2.30847117062234,-0.011600357641318292
IND,0.02383254027583778,199,198.3400198454108,-0.6599801545891921,-0.0033164831888904127
IRL,0.0033251270698966746,197,192.44590555240111,-4.554094447598885,-0.0231172306984715
IRN,0.00630590636467276,179,195.23201588768384,16.232015887683843,0.09068165300382035
IRQ,0.0018700531441140863,117,188.83321428128852,71.83321428128852,0.6139590964212694
ISL,0.0002444252944020909,175,163.67877023094982,-11.321229769050177,-0.06469274153742958
ISR,0.003944529185132475,190,193.30125015551664,3.301250155516641,0.017375000818508637
ITA,0.029636665529430336,200,198.62358125392038,-1.3764187460796222,-0.0068820937303981115
JAM,0.0002248301893653047,155,162.17214718141858,7.17214718141858,0.04627191729947471
JOR,0.0005232928775196213,171,175.65087119020419,4.650871190204185,0.02719807713569699
JPN,0.06546482579806491,198,199.32475897385385,1.3247589738538466,0.00669070188815074
