country,fitness,degree_actual,degree_predicted,degree_error,relative_error
ABW,5.3139033296392194e-05,100,100.42297114483638,0.42297114483638154,0.004229711448363815
AFG,0.0001295421479923524,110,123.30728909501464,13.307289095014639,0.120975355409224
AGO,0.0007343293481637844,108,160.08250117929302,52.08250117929302,0.4822453812897502
ALB,0.00012842612262253317,123,123.0926909559497,0.09269095594970622,0.0007535850077211888
AND,4.6768962159388665e-05,141,97.08822250752881,-43.91177749247119,-0.31143104604589494
ARE,0.004151862589303963,184,180.6990803006515,-3.3009196993484977,-0.017939780974720095
ARG,0.008257866480513219,169,185.00202556618336,16.002025566183363,0.09468654181173587
ARM,8.264053121649193e-05,103,111.91544038843313,8.915440388433126,0.08655767367410802
ATG,2.4956000901301714e-05,121,80.95259624580245,-40.047403754197546,-0.3309702789603103
AUS,0.018261342255507507,190,188.1543434705,-1.8456565294999905,-0.009713981734210475
AUT,0.006449711437607976,190,183.6519470877901,-6.3480529122099085,-0.03341080480110478
AZE,0.0002527785603913101,119,139.12221830314874,20.122218303148742,0.16909427145503145
BDI,3.567271529287249e-05,103,90.0545133622699,-12.945486637730099,-0.12568433628864173
BEL,0.007676616974184915,190,184.62418199440557,-5.375818005594425,-0.028293778976812765
BEN,0.0001298094471866527,136,123.35838148950423,-12.641618510495775,-0.09295307728305717
BFA,0.00010660983816942506,137,118.4263332981398,-18.573666701860205,-0.13557420950262924
BGD,0.001742651040609254,179,172.3686812271506,-6.631318772849397,-0.03704647359133741
BGR,0.000634005877276464,181,157.56598508047682,-23.43401491952318,-0.12946969568797337
BHR,0.0003381170021357148,144,145.42872011503363,1.4287201150336273,0.0099216674655113
BHS,0.00021915991343119276,137,135.88840754495772,-1.1115924550422847,-0.008113813540454632
BIH,0.00022290204153032467,86,136.2765340968695,50.27653409686951,0.584610861591506
BLR,0.0005447618382138544,147,154.8369535545124,7.836953554512405,0.0533126092143701
BLZ,2.846504065951867e-05,115,84.27343314320112,-30.726566856798883,-0.26718753788520766
BMU,0.00014067409808873286,100,125.3409746315358,25.3409746315358,0.253409746315358
BOL,0.0003618089332287578,122,146.8380145025858,24.838014502585793,0.20359028280808028
BRA,0.024762762034870135,185,188.98476863462685,3.984768634626846,0.02153928991690187
BRB,0.00011772740569380268,156,120.9238261416961,-35.0761738583039,-0.2248472683224609
BRN,0.00025555565802637804,93,139.36618721293488,46.366187212934875,0.4985611528272567
BTN,1.5691935244985744e-05,60,69.62031112688072,9.620311126880722,0.16033851878134536
BWA,0.0001772434834088142,97,130.92626935940652,33.92626935940652,0.34975535422068577
CAF,3.497810221073356e-05,107,89.54731041405694,-17.452689585943062,-0.1631092484667576
CAN,0.02427813245249938,184,188.93607060429,4.936070604289995,0.026826470675489104
CHE,0.011058700746468952,191,186.35319244276604,-4.646807557233956,-0.02432883537818825
CHL,0.002739300102838192,174,177.16466459259533,3.1646645925953294,0.01818772754365132
CHN,0.05896499212110527,190,190.55432431316729,0.5543243131672853,0.002917496385090975
CIV,0.0006346310641808876,159,157.5832842686167,-1.4167157313833059,-0.008910161832599408
CMR,0.00035833981414407605,149,146.6389489676231,-2.3610510323769063,-0.015845980083066487
COD,0.0003579237086350281,106,146.6149105187741,40.61491051877411,0.38315953319598217
COG,0.00013529922374379077,109,124.38246199155552,15.382461991555516,0.14112350450968364
COL,0.0032772319393006115,177,178.78496146296573,1.7849614629657253,0.01008452803935438
COM,1.2876599271105473e-05,89,65.00242232523415,-23.99757767476585,-0.26963570421085226
CPV,1.927621066127849e-05,117,74.56506282866152,-42.434937171338476,-0.36269177069520064
CRI,0.0006350265105753892,158,157.59421476199932,-0.405785238000675,-0.0025682610000042723
CUB,0.0009535006103101104,161,164.2475574696607,3.2475574696607055,0.02017116440783047
CYP,0.00032424395860188406,176,144.54536501153027,-31.454634988469735,-0.17871951697994168
CZE,0.002684931323045371,185,176.97397802939116,-8.026021970608838,-0.04338390254383156
DEU,0.06023540620433366,190,190.58127329610244,0.581273296102438,0.003059333137381253
DMA,9.837490654433904e-06,125,58.945760919705215,-66.05423908029479,-0.5284339126423583
DNK,0.005490691515117106,189,182.65881461379436,-6.3411853862056375,-0.03355124542965946
DOM,0.0007387284036179983,119,160.18217627615329,41.182176276153285,0.3460687082029688
DZA,0.0022919705341279133,162,175.39920541730973,13.39920541730973,0.08271114455129464
ECU,0.0010470467616071346,165,165.64364685914788,0.6436468591478786,0.0039008900554416883
EGY,0.0037503207312476706,170,179.90612345376852,9.906123453768515,0.05827131443393244
ERI,3.963645774809082e-05,67,92.78147171426818,25.78147171426818,0.38479808528758475
ESP,0.02041193540203903,190,188.4784303475805,-1.5215696524194868,-0.008008261328523615
EST,0.00029177404005513224,170,142.28258675246448,-27.717413247535518,-0.16304360733844422
ETH,0.00034824080582984555,154,146.04549644293215,-7.954503557067852,-0.0516526205004406
FIN,0.004091645053907777,187,180.58790102898837,-6.4120989710116305,-0.03428929931022262
FJI,6.951886615328171e-05,134,107.4345510190983,-26.565448980901706,-0.1982496192604605
FRA,0.04228342000452333,190,190.0698869041063,0.06988690410631193,0.00036782581108585225
FSM,6.371241400076148e-06,45,49.777896715038885,4.777896715038885,0.10617548255641968
GAB,0.00020223514854994916,133,134.03016863724875,1.0301686372487495,0.007745628851494357
GBR,0.0483038786808653,191,190.27894258028118,-0.721057419718818,-0.003775169736747738
GEO,0.00013285375820383218,128,123.93212545123605,-4.067874548763953,-0.031780269912218384
GHA,0.0004189921598651399,159,149.81014866556188,-9.189851334438117,-0.057797807134830924
GIN,0.00010804230261471674,146,118.7637819267704,-27.236218073229594,-0.18654943885773695
GMB,2.0041701685790645e-05,121,75.51610591936625,-45.483894080633746,-0.3758999510796177
GNB,1.4717853729392981e-05,70,68.10863893312633,-1.891361066873671,-0.027019443812481014
GNQ,5.635293537647491e-05,72,101.95745369218545,29.957453692185453,0.41607574572479794
GRC,0.004060325735845421,186,180.52906564123498,-5.470934358765021,-0.029413625584758178
GRD,1.4974801404211162e-05,128,68.5155027193254,-59.4844972806746,-0.46472263500527033
GRL,3.7083888771810993e-05,72,91.05689196689046,19.05689196689046,0.26467905509570083
