reporter,partner,trade_value,year
AFG,AUS,600415.16,2017
AFG,AUT,239523.89,2017
AFG,BHR,58650.26,2017
AFG,BGD,10108.01,2017
AFG,BEL,68184.93,2017
AFG,MMR,236790.75,2017
AFG,BLR,13436.09,2017
AFG,CAN,1717902.25,2017
AFG,CHN,11711475.65,2017
AFG,DNK,117958.76,2017
AFG,FIN,3784261.77,2017
AFG,FRA,513064.72,2017
AFG,DEU,4865421.87,2017
AFG,GRC,165.23,2017
AFG,HKG,64546.26,2017
AFG,HUN,21713.16,2017
AFG,IDN,54029.2,2017
AFG,IRN,18112758.66,2017
AFG,IRQ,14563223.43,2017
AFG,ITA,416641.6,2017
AFG,JPN,79370.96,2017
AFG,KAZ,3411029.15,2017
AFG,JOR,3100187.37,2017
AFG,KWT,7199.01,2017
AFG,LBN,1034801.9,2017
AFG,LTU,6016.14,2017
AFG,MYS,145860.38,2017
AFG,NLD,217129.75,2017
AFG,NZL,40680.63,2017
AFG,PAK,357201296.92,2017
AFG,POL,210273.9,2017
AFG,QAT,38127.72,2017
AFG,ROU,108836.04,2017
AFG,RUS,1492940.61,2017
AFG,SAU,5904179.83,2017
AFG,IND,356139528.05,2017
AFG,VNM,2876046.69,2017
AFG,ZAF,88675.48,2017
AFG,ESP,90351.67,2017
AFG,SWZ,3663.41,2017
AFG,SWE,86752.43,2017
AFG,CHE,1200.69,2017
AFG,TJK,1433204.12,2017
AFG,THA,32620.63,2017
AFG,ARE,12962004.3,2017
AFG,TUN,4027.23,2017
AFG,TUR,22006682.62,2017
AFG,TKM,1377122.08,2017
AFG,UKR,142292.75,2017
AFG,GBR,870069.0,2017
AFG,USA,2489035.78,2017
AFG,UZB,1011406.88,2017
AFG,YEM,76379.0,2017
AFG,_X,67507.0,2017
ALB,AFG,23355.483,2017
ALB,DZA,35659.834,2017
ALB,AZE,66420.995,2017
ALB,AUS,1160794.149,2017
ALB,AUT,15484036.073,2017
ALB,BHR,6194.256,2017
ALB,ARM,66831.617,2017
ALB,BEL,5071646.368,2017
ALB,BIH,11216139.797,2017
ALB,BRA,504718.75,2017
ALB,BGR,25787407.897,2017
ALB,BLR,608120.057,2017
ALB,CMR,19895.061,2017
ALB,CAN,1345556.043,2017
ALB,CYM,1551656.324,2017
ALB,CAF,36328.866,2017
ALB,LKA,46560.768,2017
ALB,CHN,70805530.47,2017
ALB,COL,45649.782,2017
ALB,CRI,14574.301,2017
ALB,HRV,7069458.621,2017
ALB,CYP,79424.838,2017
ALB,CZE,19638389.034,2017
ALB,DNK,3382919.803,2017
ALB,ETH,18977.499,2017
ALB,EST,5800173.72,2017
ALB,FIN,270345.352,2017
ALB,FRA,24809150.188,2017
ALB,PYF,22162.49,2017
ALB,DJI,3111.932,2017
ALB,GEO,195623.854,2017
ALB,GMB,11749.855,2017
ALB,DEU,91565999.753,2017
ALB,GHA,20994.847,2017
ALB,GRC,97812383.612,2017
ALB,GUM,384.892,2017
ALB,HKG,7776524.121,2017
ALB,HUN,25408727.223,2017
ALB,IDN,685.716,2017
ALB,IRQ,2393141.08,2017
ALB,IRL,322867.275,2017
ALB,ISR,1018393.521,2017
ALB,ITA,1231155240.095,2017
ALB,CIV,333539.668,2017
ALB,JPN,5294925.512,2017
ALB,KAZ,177767.478,2017
ALB,JOR,22558.122,2017
ALB,KEN,16947.262,2017
ALB,KOR,102278.919,2017
ALB,KWT,292339.123,2017
ALB,KGZ,3148.242,2017
ALB,LBN,419400.918,2017
ALB,LVA,539488.539,2017
ALB,LBY,3461083.715,2017
ALB,LTU,1089899.729,2017
ALB,LUX,941169.452,2017
ALB,MAC,15185.169,2017
ALB,MYS,3576.315,2017
ALB,MLT,3958570.479,2017
ALB,MRT,33428.597,2017
ALB,MUS,22469.99,2017
ALB,MEX,7154.999,2017
ALB,S19,25154.17,2017
ALB,MDA,212801.647,2017
ALB,MNE,42296333.552,2017
ALB,MAR,600459.408,2017
ALB,OMN,223917.903,2017
ALB,NLD,10777921.532,2017
ALB,NZL,39118.527,2017
ALB,NIC,516.601,2017
