reporter,partner,trade_value,year
ALB,DZA,452.0,2001
ALB,ARG,622.0,2001
ALB,AUT,728387.0,2001
ALB,BHS,1478.0,2001
ALB,BEL,438201.0,2001
ALB,BIH,7744.0,2001
ALB,BGR,94709.0,2001
ALB,CAN,7.0,2001
ALB,COK,48104.0,2001
ALB,HRV,49720.0,2001
ALB,CYP,2519.0,2001
ALB,CZE,489802.0,2001
ALB,DNK,768052.0,2001
ALB,FIN,249.0,2001
ALB,FRA,2026984.0,2001
ALB,DEU,16807268.0,2001
ALB,GRC,38714137.0,2001
ALB,HKG,286.0,2001
ALB,HUN,47165.0,2001
ALB,ISL,69471.0,2001
ALB,IRN,2059.0,2001
ALB,ISR,99803.0,2001
ALB,ITA,216502632.0,2001
ALB,JPN,80817.0,2001
ALB,JOR,87314.0,2001
ALB,LBN,101927.0,2001
ALB,MAR,47183.0,2001
ALB,NRU,8912.0,2001
ALB,NLD,390039.0,2001
ALB,PAN,485882.0,2001
ALB,POL,69.0,2001
ALB,ROU,34832.0,2001
ALB,RUS,36590.0,2001
ALB,SGP,3028.0,2001
ALB,SVK,52332.0,2001
ALB,SVN,123704.0,2001
ALB,ESP,273416.0,2001
ALB,SWE,550072.0,2001
ALB,CHE,4477798.0,2001
ALB,SYR,7.0,2001
ALB,THA,3793.0,2001
ALB,TUR,3092893.0,2001
ALB,UKR,22317.0,2001
ALB,MKD,6408644.0,2001
ALB,GBR,188310.0,2001
ALB,USA,2010554.0,2001
ALB,SCG,9550418.0,2001
DZA,ALB,61527.0,2001
DZA,ATG,86843.0,2001
DZA,ARG,21934603.0,2001
DZA,AUS,22683870.0,2001
DZA,AUT,24893.0,2001
DZA,BHS,63141.0,2001
DZA,BRB,3271710.0,2001
DZA,BEL,535496788.0,2001
DZA,BOL,13781.0,2001
DZA,BWA,17414803.0,2001
DZA,BRA,991857728.0,2001
DZA,BLZ,7234.0,2001
DZA,BGR,142858.0,2001
DZA,CMR,1238.0,2001
DZA,CAN,663652221.0,2001
DZA,CPV,2481275.0,2001
DZA,CHN,86619259.0,2001
DZA,HRV,2508195.0,2001
DZA,CUB,20401.0,2001
DZA,CYP,8492913.0,2001
DZA,CZE,224712.0,2001
DZA,BEN,426.0,2001
DZA,DNK,2543544.0,2001
DZA,ECU,12040531.0,2001
DZA,SLV,4796612.0,2001
DZA,FRA,2913475029.0,2001
DZA,DEU,216772426.0,2001
DZA,GHA,466216.0,2001
DZA,GRC,78852800.0,2001
DZA,GIN,7255.0,2001
DZA,HTI,15499.0,2001
DZA,HND,146881.0,2001
DZA,HKG,76977.0,2001
DZA,HUN,966896.0,2001
DZA,ISL,171732.0,2001
DZA,IDN,255628602.0,2001
DZA,IRN,73658.0,2001
DZA,IRQ,40179284.0,2001
DZA,IRL,40497.0,2001
DZA,ITA,4308271543.0,2001
DZA,CIV,405401.0,2001
DZA,JPN,75141611.0,2001
DZA,JOR,21874462.0,2001
DZA,PRK,164100.0,2001
DZA,KOR,88968575.0,2001
DZA,KWT,1861962.0,2001
DZA,LBN,7995152.0,2001
DZA,LBR,5232.0,2001
DZA,LBY,565135.0,2001
DZA,LUX,100.0,2001
DZA,MDG,8416.0,2001
DZA,MYS,1189874.0,2001
DZA,MLI,37324.0,2001
DZA,MLT,17119782.0,2001
DZA,MRT,12464363.0,2001
DZA,MEX,148338913.0,2001
DZA,S19,11286942.0,2001
DZA,MAR,175376733.0,2001
DZA,OMN,1500.0,2001
DZA,NLD,1365920147.0,2001
DZA,NER,23490.0,2001
DZA,NGA,1656296.0,2001
DZA,NOR,39803109.0,2001
DZA,PAK,39097.0,2001
DZA,PAN,464876.0,2001
DZA,PHL,21014.0,2001
DZA,POL,33627.0,2001
DZA,PRT,308962639.0,2001
DZA,ROU,31220.0,2001
DZA,RUS,321517.0,2001
DZA,VCT,1741724.0,2001
DZA,SMR,8275157.0,2001
DZA,SAU,16122712.0,2001
DZA,SEN,3253820.0,2001
DZA,IND,18098742.0,2001
DZA,SGP,9475784.0,2001
DZA,SVN,4324529.0,2001
DZA,ZAF,45157.0,2001
DZA,ESP,2302487199.0,2001
DZA,SDN,27477.0,2001
DZA,SWE,11157695.0,2001
DZA,CHE,10482801.0,2001
DZA,SYR,9178966.0,2001
DZA,TJK,5692918.0,2001
DZA,TGO,2671.0,2001
DZA,ARE,112793395.0,2001
DZA,TUN,87129955.0,2001
DZA,TUR,940890226.0,2001
DZA,UKR,2550376.0,2001
DZA,MKD,42187202.0,2001
DZA,EGY,105019570.0,2001
DZA,GBR,309352366.0,2001
DZA,USA,2673738176.0,2001
DZA,BFA,323.0,2001
DZA,VEN,1140975.0,2001
DZA,_X,780266.0,2001
AND,DZA,15515.0,2001
AND,ARG,336676.0,2001
AND,AUT,8968.0,2001
AND,BEL,17208.0,2001
AND,BGR,19193.0,2001
AND,BLR,37671.0,2001
AND,CAN,584.0,2001
AND,CHL,55103.0,2001
AND,COL,412.0,2001
AND,HRV,4762.0,2001
AND,CYP,62841.0,2001
AND,DNK,11779.0,2001
AND,DOM,52.0,2001
AND,ECU,1567.0,2001
AND,GNQ,11596.0,2001
AND,FIN,15.0,2001
AND,FRA,13643830.0,2001
AND,DEU,4325418.0,2001
AND,GRC,20565.0,2001
AND,GTM,7613.0,2001
AND,GIN,1752.0,2001
AND,GUY,9671.0,2001
AND,HKG,979807.0,2001
AND,IRL,27.0,2001
AND,ITA,180175.0,2001
AND,JPN,116832.0,2001
AND,KAZ,3167.0,2001
AND,JOR,414.0,2001
AND,LBN,28061.0,2001
AND,LVA,13170.0,2001
AND,LTU,2331414.0,2001
AND,MYS,360835.0,2001
AND,MEX,1935.0,2001
AND,MAR,9844.0,2001
AND,NLD,151940.0,2001
AND,NCL,7086.0,2001
AND,NGA,10462.0,2001
AND,F19,27775.0,2001
AND,NOR,489868.0,2001
AND,POL,17263.0,2001
AND,PRT,167859.0,2001
AND,ROU,755.0,2001
AND,RUS,206343.0,2001
AND,RWA,2706.0,2001
AND,SEN,7681.0,2001
AND,IND,36141.0,2001
AND,ESP,26919878.0,2001
AND,SWE,176696.0,2001
AND,CHE,740049.0,2001
AND,ARE,106052.0,2001
AND,TUN,5257.0,2001
AND,TUR,1549.0,2001
AND,UGA,3479.0,2001
AND,GBR,115085.0,2001
AND,USA,248907.0,2001
AND,URY,104921.0,2001
AND,VEN,891.0,2001
AND,SCG,75.0,2001
AND,_X,254046.0,2001
AZE,AFG,190776.0,2001
AZE,ALB,1687.0,2001
AZE,DZA,61500.0,2001
AZE,AGO,88465.0,2001
AZE,ARG,15021773.0,2001
AZE,AUS,12688.0,2001
AZE,AUT,64002.0,2001
AZE,BEL,618824.0,2001
AZE,BOL,16920.0,2001
AZE,BIH,3288.0,2001
AZE,BRA,247338.0,2001
AZE,VGB,45660.0,2001
AZE,BRN,8630.0,2001
AZE,BGR,1785200.0,2001
AZE,BLR,1028595.0,2001
AZE,KHM,660.0,2001
AZE,CMR,55425.0,2001
AZE,CAN,546679.0,2001
AZE,LKA,13874.0,2001
AZE,CHN,2438646.0,2001
AZE,HRV,24348148.0,2001
AZE,CUB,1116700.0,2001
AZE,CYP,550.0,2001
AZE,CZE,62000.0,2001
AZE,DNK,71017.0,2001
AZE,ECU,800.0,2001
AZE,EST,262048.0,2001
AZE,FIN,63798.0,2001
AZE,FRA,66473958.0,2001
AZE,GEO,103235624.0,2001
AZE,DEU,12864241.0,2001
AZE,GIB,3036566.0,2001
AZE,GRC,50830962.0,2001
AZE,HKG,74100.0,2001
AZE,ISL,85853599.0,2001
AZE,IDN,13763.0,2001
AZE,IRN,9144234.0,2001
AZE,IRL,18110.0,2001
AZE,ISR,164130177.0,2001
AZE,ITA,1324065428.0,2001
AZE,JPN,187628.0,2001
AZE,KAZ,6616691.0,2001
AZE,JOR,26000.0,2001
AZE,KOR,1189444.0,2001
AZE,KGZ,255599.0,2001
AZE,LBN,8568666.0,2001
AZE,LVA,2682424.0,2001
AZE,LTU,1240035.0,2001
AZE,MLT,8668502.0,2001
AZE,S19,13200.0,2001
AZE,MNG,315566.0,2001
AZE,MDA,69790.0,2001
AZE,MAR,24282481.0,2001
AZE,NLD,15607437.0,2001
AZE,NZL,2368.0,2001
AZE,NGA,604296.0,2001
AZE,NOR,1797631.0,2001
AZE,MHL,424318.0,2001
AZE,PAK,3584287.0,2001
AZE,PHL,1723.0,2001
AZE,POL,1507180.0,2001
AZE,ROU,9041157.0,2001
AZE,RUS,77557897.0,2001
AZE,SAU,40618.0,2001
AZE,IND,803358.0,2001
AZE,SGP,33213.0,2001
AZE,SVK,266000.0,2001
AZE,VNM,317080.0,2001
AZE,SVN,1689484.0,2001
AZE,ZAF,45053.0,2001
AZE,ESP,101816173.0,2001
AZE,SWE,63850.0,2001
AZE,CHE,7720076.0,2001
AZE,TJK,12112613.0,2001
AZE,THA,2753.0,2001
AZE,TTO,32474.0,2001
AZE,ARE,10214390.0,2001
AZE,TUN,1931420.0,2001
AZE,TUR,67381635.0,2001
AZE,TKM,12046604.0,2001
AZE,UKR,6840967.0,2001
AZE,EGY,5259503.0,2001
AZE,GBR,35443453.0,2001
AZE,USA,13662289.0,2001
AZE,UZB,3107671.0,2001
AZE,SCG,1290892.0,2001
AZE,_X,1.0,2001
ARG,ALB,106945.0,2001
ARG,DZA,158442439.0,2001
ARG,AGO,18233979.0,2001
ARG,ATG,120659.0,2001
ARG,AZE,543231.0,2001
ARG,AUS,66179007.0,2001
ARG,AUT,4390138.0,2001
ARG,BHS,8356825.0,2001
ARG,BHR,18862133.0,2001
ARG,BGD,100850113.0,2001
ARG,ARM,51277.0,2001
ARG,BRB,541494.0,2001
ARG,BEL,291428775.0,2001
ARG,BOL,265259303.0,2001
ARG,BIH,212224.0,2001
ARG,BRA,6205629881.0,2001
ARG,BLZ,1369630.0,2001
ARG,BRN,113026.0,2001
ARG,BGR,5649097.0,2001
ARG,MMR,19899.0,2001
ARG,BLR,306430.0,2001
ARG,KHM,827286.0,2001
ARG,CMR,1015286.0,2001
ARG,CAN,223650248.0,2001
ARG,CAF,18598.0,2001
ARG,LKA,3399063.0,2001
ARG,TCD,329147.0,2001
ARG,CHL,2851693186.0,2001
ARG,CHN,1122612132.0,2001
ARG,COL,186445266.0,2001
ARG,COG,4867705.0,2001
ARG,COD,1684140.0,2001
ARG,CRI,34162393.0,2001
ARG,HRV,2582965.0,2001
ARG,CUB,48764987.0,2001
ARG,CYP,19441371.0,2001
ARG,CZE,2847559.0,2001
ARG,BEN,334040.0,2001
ARG,DNK,228115954.0,2001
ARG,DMA,167292.0,2001
ARG,DOM,61738905.0,2001
ARG,ECU,103054931.0,2001
ARG,SLV,50918154.0,2001
ARG,GNQ,1023329.0,2001
ARG,ETH,45869.0,2001
ARG,EST,643249.0,2001
ARG,FJI,121486.0,2001
ARG,FIN,54230897.0,2001
ARG,FRA,258064127.0,2001
ARG,GAB,4652734.0,2001
ARG,GEO,28201.0,2001
ARG,DEU,463769290.0,2001
ARG,GHA,2268442.0,2001
ARG,GIB,7287.0,2001
ARG,GRC,66136851.0,2001
ARG,GRD,203240.0,2001
ARG,GTM,43762035.0,2001
ARG,GIN,326365.0,2001
ARG,GUY,163650.0,2001
ARG,HTI,19987617.0,2001
ARG,HND,7392555.0,2001
ARG,HKG,99881084.0,2001
ARG,HUN,8505225.0,2001
ARG,ISL,197203.0,2001
ARG,IDN,43218554.0,2001
ARG,IRN,417868400.0,2001
ARG,IRQ,52996674.0,2001
ARG,IRL,23566117.0,2001
ARG,ISR,86450743.0,2001
ARG,ITA,852166597.0,2001
ARG,CIV,5923216.0,2001
ARG,JAM,10223274.0,2001
ARG,JPN,364148174.0,2001
ARG,KAZ,2612940.0,2001
ARG,JOR,120752339.0,2001
ARG,KEN,43021988.0,2001
ARG,KOR,396380754.0,2001
ARG,KWT,26455085.0,2001
ARG,LBN,16575748.0,2001
ARG,LVA,2860741.0,2001
ARG,LBR,51301.0,2001
ARG,LBY,23940467.0,2001
ARG,LTU,4319611.0,2001
ARG,LUX,3785992.0,2001
ARG,MDG,3770143.0,2001
ARG,MWI,492000.0,2001
ARG,MYS,293527500.0,2001
ARG,MLI,96850.0,2001
ARG,MLT,1950671.0,2001
ARG,MRT,617570.0,2001
ARG,MUS,21449340.0,2001
ARG,MEX,484271546.0,2001
ARG,S19,31155619.0,2001
ARG,MDA,77308.0,2001
ARG,MAR,117072931.0,2001
ARG,MOZ,15427323.0,2001
ARG,OMN,34527382.0,2001
ARG,NAM,4983348.0,2001
ARG,NPL,87378.0,2001
ARG,NLD,798559279.0,2001
ARG,NZL,5607812.0,2001
ARG,NIC,1589536.0,2001
ARG,NER,80388.0,2001
ARG,NGA,60160080.0,2001
ARG,NOR,16935099.0,2001
ARG,MHL,51875.0,2001
ARG,PAK,20159753.0,2001
ARG,PAN,36088299.0,2001
ARG,PNG,12622.0,2001
ARG,PRY,498778421.0,2001
ARG,PER,393954434.0,2001
ARG,PHL,103715551.0,2001
ARG,POL,32536873.0,2001
ARG,PRT,134684247.0,2001
ARG,GNB,260365.0,2001
ARG,QAT,7457157.0,2001
ARG,ROU,12624790.0,2001
ARG,RUS,150657237.0,2001
ARG,RWA,67132.0,2001
ARG,KNA,170920.0,2001
ARG,LCA,29550.0,2001
ARG,VCT,143026.0,2001
ARG,SAU,57196771.0,2001
ARG,SEN,13913757.0,2001
ARG,SYC,1932.0,2001
ARG,SLE,383483.0,2001
ARG,IND,440437446.0,2001
ARG,SGP,28467986.0,2001
ARG,SVK,170626.0,2001
