reporter,partner,trade_value,year
AFG,AZE,62547.03,2019
AFG,AUS,1134984.4,2019
AFG,AUT,380039.27,2019
AFG,BHR,69308.02,2019
AFG,BGD,312758.58,2019
AFG,BEL,61454.09,2019
AFG,MMR,300902.57,2019
AFG,BLR,13464.94,2019
AFG,CAN,1377671.29,2019
AFG,CAF,136220.13,2019
AFG,CHN,31001901.76,2019
AFG,CZE,1145.12,2019
AFG,DNK,5417.18,2019
AFG,FIN,920817.93,2019
AFG,FRA,338655.5,2019
AFG,GEO,7594.03,2019
AFG,DEU,11704679.86,2019
AFG,HKG,297382.93,2019
AFG,IDN,142389.92,2019
AFG,IRN,15053035.82,2019
AFG,IRQ,14500216.63,2019
AFG,ITA,491212.71,2019
AFG,JPN,14043.36,2019
AFG,KAZ,3195615.43,2019
AFG,JOR,1415174.55,2019
AFG,KOR,66979.98,2019
AFG,KWT,326553.53,2019
AFG,KGZ,188379.29,2019
AFG,LBN,1114707.59,2019
AFG,LVA,16276.46,2019
AFG,LTU,5779.05,2019
AFG,MYS,100314.81,2019
AFG,S19,164653.69,2019
AFG,MAR,32031.6,2019
AFG,OMN,7474.68,2019
AFG,NAM,12755.73,2019
AFG,NPL,1523.03,2019
AFG,NLD,283034.15,2019
AFG,NOR,4953.79,2019
AFG,PAK,298635063.07,2019
AFG,POL,124519.59,2019
AFG,PRT,8443.52,2019
AFG,QAT,6431.99,2019
AFG,ROU,306075.4,2019
AFG,RUS,2021828.03,2019
AFG,SAU,9426171.31,2019
AFG,IND,410135570.1,2019
AFG,SGP,70584.61,2019
AFG,VNM,438220.02,2019
AFG,SOM,79329.0,2019
AFG,ESP,388566.29,2019
AFG,SWZ,16937.6,2019
AFG,SWE,307092.42,2019
AFG,CHE,10820.87,2019
AFG,TJK,5084962.6,2019
AFG,THA,3440.71,2019
AFG,TKL,544.87,2019
AFG,ARE,24944870.92,2019
AFG,TUR,25152196.91,2019
AFG,TKM,1174517.76,2019
AFG,UKR,100121.18,2019
AFG,EGY,13372.43,2019
AFG,GBR,1690918.52,2019
AFG,USA,3006283.43,2019
AFG,UZB,2077578.88,2019
ALB,AFG,36310.433,2019
ALB,DZA,29441.572,2019
ALB,AGO,34866.712,2019
ALB,AZE,216217.88,2019
ALB,ARG,173207.391,2019
ALB,AUS,1331543.778,2019
ALB,AUT,16292901.592,2019
ALB,BHS,45.744,2019
ALB,BHR,1373.439,2019
ALB,BEL,6866900.786,2019
ALB,BMU,3291.082,2019
ALB,BOL,24632.346,2019
ALB,BIH,19007677.882,2019
ALB,BRA,802621.432,2019
ALB,BGR,32100878.584,2019
ALB,BLR,30336.246,2019
ALB,KHM,332.131,2019
ALB,CMR,23428.786,2019
ALB,CAN,2159820.78,2019
ALB,CYM,27702.517,2019
ALB,LKA,161001.291,2019
ALB,CHL,211820.395,2019
ALB,CHN,56526326.655,2019
ALB,COL,30953.326,2019
ALB,COM,3035.249,2019
ALB,CRI,449.904,2019
ALB,HRV,10180576.571,2019
ALB,CYP,1406157.847,2019
ALB,CZE,36893632.931,2019
ALB,BEN,156356.119,2019
ALB,DNK,1039137.966,2019
ALB,ETH,194564.09,2019
ALB,EST,11069172.211,2019
ALB,FIN,725077.418,2019
ALB,FRA,40806468.974,2019
ALB,DJI,457.485,2019
ALB,GEO,80081.559,2019
ALB,GMB,47981.384,2019
ALB,PSE,61941.019,2019
ALB,DEU,121899477.352,2019
ALB,GHA,25138.087,2019
ALB,GRC,113247599.798,2019
ALB,HKG,2387369.562,2019
ALB,HUN,22486865.516,2019
ALB,ISL,182519.705,2019
ALB,IDN,99065.56,2019
ALB,IRN,103401.755,2019
ALB,IRQ,1366912.691,2019
