reporter,partner,trade_value,year
AFG,AZE,13719.93,2018
AFG,AUS,764751.79,2018
AFG,AUT,104412.52,2018
AFG,BHR,25862.1,2018
AFG,BEL,25717.45,2018
AFG,MMR,374221.99,2018
AFG,BLR,34055.31,2018
AFG,CAN,1321981.98,2018
AFG,CHN,28410084.68,2018
AFG,COL,564.82,2018
AFG,CZE,7327.18,2018
AFG,DNK,5581.16,2018
AFG,FIN,1228017.36,2018
AFG,FRA,538392.63,2018
AFG,DEU,5584718.58,2018
AFG,HKG,941724.2,2018
AFG,HUN,10143.58,2018
AFG,IDN,54029.2,2018
AFG,IRN,20269215.36,2018
AFG,IRQ,13190079.73,2018
AFG,ITA,279918.22,2018
AFG,JPN,162888.95,2018
AFG,KAZ,4450386.91,2018
AFG,JOR,2796480.73,2018
AFG,KWT,87852.98,2018
AFG,KGZ,260826.92,2018
AFG,LBN,1396108.77,2018
AFG,MYS,511762.2,2018
AFG,OMN,1256.28,2018
AFG,NLD,255374.95,2018
AFG,NZL,141134.4,2018
AFG,NOR,748.05,2018
AFG,PAK,379108953.28,2018
AFG,POL,414888.85,2018
AFG,PRT,13304.68,2018
AFG,QAT,13253.46,2018
AFG,ROU,298841.96,2018
AFG,RUS,1665685.22,2018
AFG,SAU,6604192.14,2018
AFG,IND,359469649.93,2018
AFG,SGP,60309.88,2018
AFG,SVK,62342.47,2018
AFG,VNM,994299.38,2018
AFG,ZAF,104543.78,2018
AFG,ESP,51750.2,2018
AFG,SWZ,5646.22,2018
AFG,SWE,107472.24,2018
AFG,CHE,4633.98,2018
AFG,TJK,7391003.39,2018
AFG,THA,32620.63,2018
AFG,ARE,15765913.22,2018
AFG,TUN,4027.23,2018
AFG,TUR,22020608.41,2018
AFG,TKM,982566.67,2018
AFG,UGA,17388.12,2018
AFG,UKR,183219.82,2018
AFG,EGY,1065.03,2018
AFG,GBR,1693973.13,2018
AFG,USA,1777464.21,2018
AFG,UZB,2318757.31,2018
AFG,YEM,26415.25,2018
AFG,_X,60365.37,2018
ALB,DZA,24939.444,2018
ALB,AGO,48148.05,2018
ALB,AZE,14829.391,2018
ALB,ARG,43749.559,2018
ALB,AUS,1196997.838,2018
ALB,AUT,18037635.213,2018
ALB,BHS,38586.33,2018
ALB,BHR,48459.661,2018
ALB,ARM,11626.449,2018
ALB,BEL,3687968.039,2018
ALB,BIH,12984263.461,2018
ALB,BRA,387945.052,2018
ALB,BLZ,7839.813,2018
ALB,BGR,27211800.22,2018
ALB,MMR,510.675,2018
ALB,BDI,4231.305,2018
ALB,BLR,75067.132,2018
ALB,KHM,20827.866,2018
ALB,CAN,1150568.24,2018
ALB,CYM,159988.059,2018
ALB,LKA,38364.125,2018
ALB,TCD,13823.938,2018
ALB,CHL,91825.248,2018
ALB,CHN,52735388.037,2018
ALB,COL,5669.263,2018
ALB,COG,31990.803,2018
ALB,CRI,22116.286,2018
ALB,HRV,8766832.894,2018
ALB,CYP,255666.642,2018
ALB,CZE,41876415.656,2018
ALB,BEN,11510.056,2018
ALB,DNK,10251507.061,2018
ALB,SLV,833.106,2018
ALB,GNQ,31544.197,2018
ALB,EST,8409863.614,2018
ALB,FIN,587398.884,2018
ALB,FRA,31587234.383,2018
ALB,DJI,32048.619,2018
ALB,GEO,171515.763,2018
ALB,DEU,124480587.74,2018
ALB,GHA,21750.99,2018
ALB,GRC,121498212.774,2018
ALB,GIN,14669.468,2018
ALB,HKG,1094987.805,2018
ALB,HUN,25258268.016,2018
ALB,ISL,38428.111,2018
ALB,IDN,601.925,2018
ALB,IRN,137849.475,2018
ALB,IRQ,2028880.316,2018
ALB,IRL,328750.235,2018
ALB,ISR,1380614.159,2018
ALB,ITA,1381261650.015,2018
ALB,CIV,486598.63,2018
ALB,JAM,670.505,2018
ALB,JPN,5489546.896,2018
ALB,KAZ,337099.927,2018
ALB,JOR,23464.949,2018
ALB,KEN,929.118,2018
ALB,KOR,277199.735,2018
ALB,KWT,289947.333,2018
ALB,KGZ,11696.252,2018
ALB,LBN,709225.726,2018
ALB,LVA,311910.495,2018
ALB,LBY,1799418.256,2018
ALB,LTU,755632.887,2018
ALB,LUX,20448.574,2018
ALB,MAC,31937.517,2018
ALB,MYS,107433.254,2018
ALB,MLI,290469.356,2018
ALB,MLT,6849733.446,2018
ALB,MRT,3539.298,2018
ALB,MUS,29393.111,2018
ALB,MEX,2167659.492,2018
ALB,S19,7434676.905,2018
ALB,MNG,400.906,2018
ALB,MDA,395408.341,2018
ALB,MNE,52708526.353,2018
ALB,MAR,1320362.216,2018
ALB,MOZ,10946.485,2018
ALB,OMN,145121.056,2018
ALB,NLD,37078502.695,2018
ALB,NZL,130405.676,2018
ALB,NGA,3154.473,2018
ALB,NOR,491959.023,2018
ALB,MHL,1677783.854,2018
ALB,PAK,44671.423,2018
ALB,PAN,358569.888,2018
ALB,POL,8556784.718,2018
ALB,PRT,527968.773,2018
ALB,QAT,618580.621,2018
ALB,ROU,44231439.292,2018
ALB,RUS,855521.306,2018
ALB,AIA,78099.405,2018
ALB,SMR,215823.233,2018
ALB,SAU,1316459.16,2018
ALB,SEN,245638.353,2018
ALB,SRB,325425974.4,2018
ALB,SLE,122767.827,2018
ALB,IND,5709324.238,2018
ALB,SGP,1177750.733,2018
ALB,SVK,5580624.905,2018
ALB,VNM,2376457.61,2018
ALB,SVN,31339214.28,2018
ALB,ZAF,199727.184,2018
ALB,ESP,223944894.552,2018
ALB,SWZ,2325.249,2018
ALB,SWE,21658265.615,2018
ALB,CHE,27176300.917,2018
ALB,SYR,11752.614,2018
ALB,THA,226922.026,2018
ALB,TGO,55757.746,2018
ALB,ARE,7436314.593,2018
ALB,TUN,288972.674,2018
ALB,TUR,19943109.828,2018
ALB,TKM,103178.234,2018
ALB,TCA,138262.776,2018
ALB,UGA,758.235,2018
ALB,UKR,2283266.292,2018
ALB,MKD,79142377.336,2018
ALB,EGY,3249010.165,2018
ALB,GBR,10609379.016,2018
ALB,TZA,21552.362,2018
ALB,USA,49590301.241,2018
ALB,URY,12706.837,2018
ALB,VEN,72.185,2018
ALB,YEM,20184.254,2018
ALB,_X,1948732.533,2018
AND,AFG,4.733,2018
AND,DZA,39817.305,2018
AND,AGO,534.581,2018
AND,AZE,3170.108,2018
AND,ARG,55692.199,2018
AND,AUS,176673.136,2018
AND,AUT,2912918.633,2018
AND,BHR,3037.179,2018
AND,BGD,229.26,2018
AND,ARM,1287.312,2018
AND,BRB,54.135,2018
AND,BEL,482483.513,2018
AND,BOL,1301.606,2018
AND,BIH,881.175,2018
AND,BRA,15000.099,2018
AND,BRN,250.358,2018
AND,BGR,49622.338,2018
AND,BLR,41825.707,2018
AND,KHM,9269.859,2018
AND,CAN,45520.292,2018
AND,CPV,21.287,2018
AND,LKA,28.399,2018
AND,CHL,54432.647,2018
AND,CHN,629283.289,2018
AND,COL,100141.576,2018
AND,COD,828.295,2018
AND,CRI,19288.622,2018
AND,HRV,6467.904,2018
AND,CUB,5655.82,2018
AND,CYP,2435.6,2018
AND,CZE,63671.787,2018
AND,DNK,66453.485,2018
AND,DOM,6741.135,2018
AND,ECU,12337.333,2018
AND,SLV,117415.515,2018
AND,EST,1159.293,2018
AND,FJI,49.698,2018
AND,FIN,31765.016,2018
AND,FRA,23653676.408,2018
AND,PYF,264.356,2018
AND,DEU,1050365.467,2018
AND,GHA,5461.455,2018
AND,GIB,237.484,2018
AND,GRC,8653.833,2018
AND,GTM,211510.231,2018
AND,GUY,24575.063,2018
AND,HTI,55.602,2018
AND,HND,301553.007,2018
AND,HKG,2533716.428,2018
AND,HUN,10722.972,2018
AND,ISL,471.051,2018
AND,IDN,1987.221,2018
AND,IRN,49107.079,2018
AND,IRQ,341.305,2018
AND,IRL,13600.337,2018
AND,ISR,374784.629,2018
AND,ITA,1397316.661,2018
AND,JAM,23.654,2018
AND,JPN,90673.471,2018
AND,KAZ,9459.29,2018
AND,JOR,136129.392,2018
AND,PRK,4400.729,2018
AND,KOR,129678.243,2018
AND,KWT,831889.975,2018
AND,KGZ,1203.11,2018
AND,LAO,14.199,2018
AND,LBN,631406.783,2018
AND,LTU,5549.16,2018
AND,LUX,300202.958,2018
AND,MAC,26561.432,2018
AND,MDG,36116.0,2018
AND,MYS,2454.817,2018
AND,MDV,23.654,2018
AND,MLT,929.477,2018
AND,MUS,66.252,2018
AND,MEX,96118.183,2018
AND,S19,20247.083,2018
AND,MNG,1721.835,2018
AND,MDA,1201.276,2018
AND,MAR,4204.222,2018
AND,NLD,2402160.119,2018
AND,NCL,53.839,2018
AND,NZL,10467.514,2018
AND,NER,176.817,2018
AND,NGA,5247.235,2018
AND,E19,1718746.244,2018
AND,F19,83056.603,2018
AND,NOR,4831668.158,2018
AND,MNP,293.725,2018
AND,PAN,9218.375,2018
AND,PRY,19999.765,2018
AND,PER,7419.662,2018
AND,PHL,1149.472,2018
AND,POL,59500.934,2018
AND,PRT,102810.176,2018
AND,QAT,21883.721,2018
AND,ROU,61808.137,2018
AND,RUS,266778.845,2018
AND,KNA,21.287,2018
AND,STP,141993.362,2018
AND,SAU,56109.541,2018
AND,IND,826.177,2018
AND,SGP,28409.606,2018
AND,SVK,3785.744,2018
AND,VNM,866.834,2018
AND,SVN,10993.848,2018
AND,ZAF,2804.369,2018
AND,ESP,79859062.247,2018
AND,SWE,236667.91,2018
AND,CHE,738124.593,2018
AND,THA,12346.773,2018
AND,TGO,23.654,2018
AND,ARE,1172298.61,2018
AND,TUR,4146.206,2018
AND,UKR,5490.055,2018
AND,MKD,15.383,2018
AND,EGY,54.419,2018
AND,GBR,342005.192,2018
AND,URY,235.461,2018
AND,UZB,856.587,2018
AND,_X,189360.975,2018
AGO,AFG,19352.67,2018
AGO,ALB,2379.726,2018
AGO,DZA,245226.143,2018
AGO,ASM,12006.786,2018
AGO,AND,326.466,2018
AGO,ATG,29578.702,2018
AGO,AZE,600370.575,2018
AGO,ARG,61362.34,2018
AGO,AUS,40220091.983,2018
AGO,AUT,433698.703,2018
AGO,BHS,154220.86,2018
AGO,BHR,1957.826,2018
AGO,BGD,55220.009,2018
AGO,ARM,35532.11,2018
AGO,BEL,63360918.852,2018
AGO,BOL,308751.998,2018
AGO,BWA,16917.398,2018
AGO,BRA,141486749.193,2018
AGO,BGR,8434.502,2018
AGO,BLR,54309.771,2018
AGO,CMR,19947648.835,2018
AGO,CAN,647164296.606,2018
AGO,CPV,143669.773,2018
AGO,CAF,1438.934,2018
AGO,TCD,1157367.536,2018
AGO,CHL,1186576.533,2018
AGO,CHN,24512124128.176,2018
AGO,COL,112587.713,2018
AGO,COG,12894702.934,2018
AGO,COD,83719744.881,2018
AGO,HRV,87324.835,2018
AGO,CUB,995086.389,2018
AGO,CYP,1432.036,2018
AGO,CZE,268033.437,2018
AGO,BEN,804478.127,2018
AGO,DNK,388602.179,2018
AGO,ECU,41909.852,2018
AGO,GNQ,2068603.369,2018
AGO,ETH,47295.185,2018
AGO,FIN,47988.87,2018
AGO,FRA,573475815.668,2018
AGO,GAB,5200695.98,2018
AGO,GEO,930.344,2018
AGO,GMB,56929.96,2018
AGO,DEU,2460631.538,2018
AGO,GHA,27469386.187,2018
AGO,GIB,1172.845,2018
AGO,GRC,6472.895,2018
AGO,GIN,927050.801,2018
AGO,GUY,12433.083,2018
AGO,HKG,23811982.236,2018
AGO,HUN,97.383,2018
AGO,ISL,213.56,2018
AGO,IDN,575477283.082,2018
AGO,IRN,468.757,2018
AGO,IRQ,276519.407,2018
AGO,IRL,1356868.266,2018
AGO,ISR,452418972.072,2018
AGO,ITA,468143596.507,2018
AGO,CIV,16569588.236,2018
AGO,JPN,264299097.895,2018
AGO,KAZ,198363.724,2018
AGO,KEN,1499694.141,2018
AGO,PRK,1.218,2018
AGO,KOR,146409668.083,2018
AGO,KWT,125073214.286,2018
AGO,LAO,664.995,2018
AGO,LBN,798983.303,2018
AGO,LSO,1598.457,2018
AGO,LVA,128738.618,2018
AGO,LBR,12657.378,2018
AGO,LBY,40722.129,2018
AGO,LTU,1897.064,2018
AGO,MDG,3267.393,2018
AGO,MWI,215558.066,2018
AGO,MYS,241995206.393,2018
AGO,MLI,65197.674,2018
