reporter,partner,trade_value,year
AFG,AUS,8462.0,2009
AFG,BEL,1365903.0,2009
AFG,BRA,305216.0,2009
AFG,CAN,315234.0,2009
AFG,CHN,3590181.0,2009
AFG,DNK,537997.0,2009
AFG,FRA,153640.0,2009
AFG,DEU,764633.0,2009
AFG,HKG,251718.0,2009
AFG,IRN,41276586.0,2009
AFG,IRQ,6931153.0,2009
AFG,ITA,124275.0,2009
AFG,JPN,701155.0,2009
AFG,KAZ,105963.0,2009
AFG,KOR,1290950.0,2009
AFG,KGZ,36000.0,2009
AFG,LBN,25913.0,2009
AFG,LVA,54000.0,2009
AFG,NLD,329732.0,2009
AFG,PAK,191131851.0,2009
AFG,POL,81000.0,2009
AFG,RUS,25663266.0,2009
AFG,SAU,2409891.0,2009
AFG,IND,76008986.0,2009
AFG,SVK,27000.0,2009
AFG,SWZ,2901311.0,2009
AFG,SYR,2465663.0,2009
AFG,TJK,5893775.0,2009
AFG,ARE,6979532.0,2009
AFG,TUR,6048036.0,2009
AFG,TKM,5796943.0,2009
AFG,UKR,634835.0,2009
AFG,EGY,886367.0,2009
AFG,GBR,293669.0,2009
AFG,USA,17314844.0,2009
AFG,UZB,735326.0,2009
ALB,AFG,237.0,2009
ALB,AUS,35098.0,2009
ALB,AUT,9408430.0,2009
ALB,BEL,2645450.0,2009
ALB,BOL,133371.0,2009
ALB,BIH,1106980.0,2009
ALB,BRA,1129220.0,2009
ALB,IOT,13301.0,2009
ALB,BGR,6577583.0,2009
ALB,CAN,321307.0,2009
ALB,CHN,51900517.0,2009
ALB,COG,9592.0,2009
ALB,HRV,1239632.0,2009
ALB,CYP,135223.0,2009
ALB,CZE,941079.0,2009
ALB,BEN,5471.0,2009
ALB,DNK,422748.0,2009
ALB,EST,71279.0,2009
ALB,FIN,208225.0,2009
ALB,FRA,9731278.0,2009
ALB,GAB,101570.0,2009
ALB,GEO,6904.0,2009
ALB,DEU,37101407.0,2009
ALB,GRC,80335276.0,2009
ALB,HKG,146092.0,2009
ALB,HUN,855518.0,2009
ALB,IDN,21290.0,2009
ALB,IRN,25652.0,2009
ALB,IRQ,205285.0,2009
ALB,IRL,20989.0,2009
ALB,ISR,251549.0,2009
ALB,ITA,683022542.0,2009
ALB,JPN,54262.0,2009
ALB,KAZ,1152148.0,2009
ALB,JOR,765648.0,2009
ALB,KEN,3236.0,2009
ALB,KWT,8261.0,2009
ALB,LBN,243.0,2009
ALB,LVA,29780.0,2009
ALB,LBR,15398.0,2009
ALB,LBY,6889433.0,2009
ALB,LTU,26099.0,2009
ALB,LUX,1872901.0,2009
ALB,MLT,19108.0,2009
ALB,S19,5883.0,2009
ALB,MDA,11239.0,2009
ALB,MNE,14410773.0,2009
ALB,OMN,8397.0,2009
ALB,NLD,6960219.0,2009
ALB,NGA,25365.0,2009
ALB,NOR,177744.0,2009
ALB,PHL,7345.0,2009
ALB,POL,227214.0,2009
ALB,QAT,4430.0,2009
ALB,ROU,4579843.0,2009
ALB,RUS,104498.0,2009
ALB,SMR,248783.0,2009
ALB,SAU,56911.0,2009
ALB,SRB,23547952.0,2009
ALB,SLE,55826.0,2009
ALB,IND,5828.0,2009
ALB,SGP,202299.0,2009
ALB,SVK,60279049.0,2009
ALB,SVN,450498.0,2009
ALB,ZAF,26094.0,2009
ALB,ESP,13159042.0,2009
ALB,SUR,5481.0,2009
ALB,SWZ,130910.0,2009
ALB,SWE,1115353.0,2009
ALB,CHE,12784659.0,2009
ALB,SYR,19656.0,2009
ALB,TJK,56997.0,2009
ALB,ARE,2729641.0,2009
ALB,TUR,6015763.0,2009
ALB,MKD,30266687.0,2009
ALB,EGY,851692.0,2009
ALB,GBR,1327523.0,2009
ALB,TZA,10616.0,2009
ALB,USA,8571992.0,2009
ALB,URY,47493.0,2009
ALB,_X,458590.0,2009
DZA,AGO,1285314.0,2009
DZA,ATG,1896.0,2009
DZA,ARG,5176.0,2009
DZA,AUS,48622202.0,2009
DZA,AUT,258789.0,2009
DZA,BHS,162176812.0,2009
DZA,BHR,34961.0,2009
DZA,BGD,1530809.0,2009
DZA,BEL,1135910069.0,2009
DZA,BIH,61980.0,2009
DZA,BRA,1465881112.0,2009
DZA,BGR,1124168.0,2009
DZA,CMR,347502.0,2009
DZA,CAN,2438900088.0,2009
DZA,CPV,191695.0,2009
DZA,CAF,13945.0,2009
DZA,TCD,28935.0,2009
DZA,CHL,23198.0,2009
DZA,CHN,874397009.0,2009
DZA,COL,1725.0,2009
DZA,COM,73456.0,2009
DZA,COG,323704.0,2009
DZA,COD,350687.0,2009
DZA,HRV,1185124.0,2009
DZA,CUB,182237510.0,2009
DZA,CYP,913157.0,2009
DZA,CZE,103859.0,2009
DZA,BEN,273252.0,2009
DZA,DNK,15356.0,2009
DZA,DOM,20576851.0,2009
DZA,ECU,9383977.0,2009
DZA,ETH,237508.0,2009
DZA,EST,10017096.0,2009
DZA,FRA,4424345427.0,2009
DZA,DJI,13506.0,2009
DZA,GAB,247832.0,2009
DZA,GMB,1229832.0,2009
DZA,DEU,334240336.0,2009
DZA,GHA,2643581.0,2009
DZA,GRC,214121555.0,2009
DZA,GIN,9969559.0,2009
DZA,HTI,30559.0,2009
DZA,HKG,31298404.0,2009
DZA,ISL,100416090.0,2009
DZA,IDN,164299255.0,2009
DZA,IRN,132.0,2009
DZA,IRQ,66438.0,2009
DZA,IRL,33109686.0,2009
DZA,ITA,5701581093.0,2009
DZA,CIV,357496.0,2009
DZA,JAM,52221.0,2009
DZA,JPN,220873981.0,2009
DZA,KAZ,16775.0,2009
