country,fitness,degree_actual,degree_predicted,degree_error,relative_error
ABW,3.954596507502294e-05,106,126.76074730894004,20.76074730894004,0.1958561066881136
AFG,0.00025538477465443955,149,168.3838770024449,19.383877002444905,0.13009313424459668
AGO,0.001368644032619408,175,190.43945645992417,15.439456459924173,0.08822546548528098
ALB,0.00015309257421932591,172,158.6370077559479,-13.362992244052094,-0.0776918153723959
AND,3.7236609068873414e-05,166,125.17087376274503,-40.82912623725497,-0.24595859179069257
ARE,0.005098200558811204,199,198.62105723291674,-0.37894276708325947,-0.0019042350104686405
ARG,0.007938128608066804,188,200.17858017426144,12.178580174261441,0.06477968177798639
ARM,0.00014085557144857046,170,156.92221085831022,-13.077789141689777,-0.07692817142170458
ASM,8.982542197620741e-06,95,86.39302667909942,-8.606973320900579,-0.09059971916737451
ATG,1.9186138684072265e-05,154,107.14069469858103,-46.85930530141897,-0.30428120325596736
AUS,0.018109310120657467,200,202.06120825678676,2.061208256786756,0.01030604128393378
AUT,0.0050658080756986685,204,198.59512794289844,-5.4048720571015565,-0.026494470868144885
AZE,0.0007084093963816581,168,183.57611814999805,15.576118149998052,0.09271498898808364
BDI,3.751222954581119e-05,138,125.36630803269645,-12.633691967303548,-0.09154849251669238
BEL,0.0061535721834487305,203,199.33954314487627,-3.6604568551237264,-0.018031807168097175
BEN,0.0001519979743043378,158,158.4906822928022,0.4906822928022052,0.003105584131659527
BFA,0.00015792402725351568,156,159.26760468515508,3.267604685155078,0.020946183879199217
BGD,0.0026046250369519412,198,195.22584913045753,-2.774150869542467,-0.014010862977487206
BGR,0.0006775735543321016,196,183.03208304329783,-12.967916956702169,-0.06616284161582739
BHR,0.00043408899783668135,197,176.99760537454262,-20.002394625457384,-0.10153499809876845
BHS,0.00015799664415832882,156,159.27689790667324,3.2768979066732413,0.02100575581200796
BIH,0.00021894911051706527,186,165.59708549993073,-20.402914500069272,-0.10969308871004985
BLR,0.000753502752433213,179,184.31307496423906,5.313074964239064,0.029681983040441697
BLZ,2.927127745657116e-05,154,118.71464404442798,-35.285355955572015,-0.2291256880231949
BMU,8.88182694476929e-05,163,146.81344947614545,-16.18655052385455,-0.09930399094389294
BOL,0.0004404541950976605,178,177.21209416959954,-0.7879058304004616,-0.004426437249440795
BRA,0.024054153542608828,203,202.48415395654735,-0.5158460434526546,-0.0025411135145450964
BRB,7.605330285790881e-05,172,143.1850578275407,-28.814942172459297,-0.16752873356080986
BRN,0.00017258088746457433,143,161.0417287207629,18.041728720762904,0.1261659351102301
BTN,2.9200813929238554e-05,80,118.64932235200574,38.64932235200574,0.48311652940007177
BWA,0.00018059512995716826,154,161.93344419885037,7.933444198850367,0.05151587142110628
CAF,2.2634214023101542e-05,135,111.69184962455611,-23.308150375443887,-0.1726529657440288
CAN,0.020774749067814513,199,202.2774453692319,3.2774453692319128,0.016469574719758354
CHE,0.009264406982601765,204,200.6206756480804,-3.3793243519195926,-0.01656531545058624
CHL,0.0032359889332527186,188,196.4803796110394,8.48037961103941,0.04510840218637984
CHN,0.15056522266267972,200,203.7257460269728,3.725746026972814,0.01862873013486407
CIV,0.0006114936362810344,188,181.7372116309621,-6.2627883690379065,-0.033312704090627164
CMR,0.00042991051604970447,182,176.85443808338385,-5.1455619166161455,-0.028272318223165633
COD,0.0005362774492445682,166,179.99778310691667,13.997783106916671,0.08432399461997994
COG,0.00016596740064227054,181,160.26560700700648,-20.73439299299352,-0.1145546574198537
COL,0.0039172475482018455,195,197.45529271439557,2.4552927143955685,0.012591244689208045
COM,1.2893613155862817e-05,123,96.19583948194541,-26.804160518054587,-0.21792000421182592
CPV,2.3355378773628e-05,138,112.55316574269042,-25.446834257309575,-0.1843973496906491
CRI,0.0007533312562928444,189,184.31039363338488,-4.6896063666151235,-0.024812732098492718
CUB,0.0011629629313474718,153,188.9415810907086,35.94158109070861,0.23491229471051378
CUW,4.082557703429671e-05,126,127.59767373938095,1.5976737393809515,0.012679950312547233
CYM,6.283998669253214e-05,119,138.57275176371073,19.572751763710727,0.16447690557740108
CYP,0.00026572947028767065,190,169.08203018026063,-20.91796981973937,-0.11009457799862826
CZE,0.002524023599149154,203,195.0303235342351,-7.9696764657649055,-0.03925948997913747
DEU,0.045714861065586594,204,203.14965617052184,-0.8503438294781631,-0.004168352105285113
DJI,3.235839749817331e-05,111,121.42128317142131,10.421283171421308,0.09388543397676855
DMA,7.78368350312568e-06,118,82.58162119682453,-35.41837880317547,-0.3001557525692837
DNK,0.004027581357216025,203,197.58760874696833,-5.412391253031672,-0.02666202587700331
DOM,0.0009471948277656849,192,186.8716320655878,-5.128367934412211,-0.02671024965839693
DZA,0.002502483610409438,182,194.97638355856122,12.976383558561224,0.07129881076132541
ECU,0.001297457588034266,194,189.96188095103992,-4.038119048960084,-0.020815046644124143
EGY,0.004396061180930486,185,197.9897312917886,12.989731291788587,0.07021476373939776
ESP,0.01609870135461328,204,201.85693340258976,-2.1430665974102396,-0.010505228418677645
EST,0.00031114361980285785,186,171.77127788116553,-14.228722118834469,-0.07649850601523908
ETH,0.0008288953557721682,176,185.4124948384228,9.412494838422788,0.05348008430922038
FIN,0.0031126675403536047,204,196.26769129693616,-7.732308703063836,-0.03790347403462665
FJI,6.249713705370928e-05,170,138.43817801970758,-31.56182198029242,-0.1856577763546613
FRA,0.03259986728135462,204,202.8430643461157,-1.1569356538842896,-0.005671253205315145
FRO,3.4353965821256834e-05,82,123.02561713212425,41.02561713212425,0.5003124040502958
FSM,4.139911657290599e-06,59,66.5091720045987,7.509172004598696,0.12727410177285925
GAB,0.00019197157862011307,179,163.11667112829616,-15.883328871703839,-0.08873368084750748
GBR,0.03931470380491782,204,203.02359082824003,-0.9764091717599683,-0.004786319469411609
GEO,0.00020319226049766396,163,164.19940969161996,1.1994096916199624,0.007358341666380137
GHA,0.0006598338753059757,184,182.70273183338801,-1.2972681666119854,-0.007050370470717312
GIN,0.00011737635698291958,157,153.04821740422764,-3.9517825957723574,-0.025170589781989536
GMB,1.8394546130023637e-05,149,105.97847731642129,-43.02152268357871,-0.28873505156764234
GNB,1.538089064802155e-05,99,101.04382212191796,2.0438221219179553,0.020644667898161165
GNQ,0.00017598704625607054,103,161.4269812620162,58.4269812620162,0.5672522452622932
GRC,0.0025968939737648846,200,195.20751372448223,-4.792486275517774,-0.02396243137758887
GRD,1.330707445524144e-05,133,97.06122872724191,-35.93877127275809,-0.27021632535908335
GRL,3.3355703096693884e-05,134,122.2361781827421,-11.763821817257906,-0.08778971505416348
