year,delta,r2,mae,rmse,num_nodes,num_edges,density,mean_degree_actual,mean_degree_predicted,std_degree_actual,std_degree_predicted
2000,59393365.963162065,0.6578411198608167,17.559302185898456,24.19159928177977,193,13316,0.7186960276338514,137.9896373056995,137.98963730569892,41.35715658004776,41.53366828528733
2005,91609708.14419255,0.6119547083390466,17.401643660620877,24.460568572991562,196,14491,0.7582940868655155,147.8673469387755,147.86734693877554,39.26678446663313,39.64376985309427
2010,153596267.03144404,0.6091610243258581,15.222335892881606,22.84437790569119,201,16032,0.7976119402985075,159.52238805970148,159.52238805970106,36.54099784694453,37.48174862433189
2015,165407814.8758891,0.5873096960620798,16.591896943424324,24.495212316358263,205,16686,0.7979913916786227,162.79024390243902,162.790243902439,38.1301993168212,38.12840498621968
2020,196950311.65611142,0.6497461095371584,15.293041106989271,21.95664942666639,202,16358,0.8057731146248953,161.96039603960395,161.96039603960475,37.10005758904532,36.90315485714826
