country,fitness,degree_actual,degree_predicted,degree_error,relative_error
ABW,5.064693526365339e-05,105,112.95238001303211,7.952380013032112,0.07573695250506773
AFG,0.0001582962674127553,121,140.91690715553625,19.91690715553625,0.1646025384755062
AGO,0.0009784160328694365,195,173.087562714317,-21.912437285683012,-0.11237147325991288
ALB,0.00014572621994790063,151,139.05133075400207,-11.948669245997934,-0.07913025990727109
AND,5.596851404997582e-05,125,115.55999374494355,-9.440006255056446,-0.07552005004045156
ARE,0.004606636067891161,184,186.85547601530814,2.8554760153081418,0.015518891387544248
ARG,0.007764491424352126,179,189.38147300000628,10.381473000006281,0.057997055865956874
ARM,0.0001257209575813785,130,135.64784207554908,5.647842075549079,0.04344493904268522
ASM,1.3415677050486841e-05,82,78.20611544930438,-3.7938845506956227,-0.04626688476458077
ATG,2.4568429330039692e-05,139,93.8226978502777,-45.177302149722294,-0.32501656222821795
AUS,0.01834501697085233,192,192.0776732678168,0.07767326781680595,0.0004045482698791976
AUT,0.006015621040332188,193,188.2480318661879,-4.751968133812113,-0.024621596548249292
AZE,0.0004003195211290905,138,159.54974851010493,21.549748510104934,0.1561575978993111
BDI,3.395307741516166e-05,125,102.38831636562401,-22.611683634375993,-0.18089346907500795
BEL,0.00722317199354384,192,189.0787071432004,-2.921292856799596,-0.015215066962497895
BEN,0.00013435475169565412,140,137.19022190756806,-2.809778092431941,-0.020069843517371008
BFA,0.00012405473932463785,143,135.33579115488104,-7.664208845118964,-0.05359586604978296
BGD,0.0019081293003928468,187,180.37988752083362,-6.62011247916638,-0.03540167101158492
BGR,0.0007146790024054627,185,168.83739426607326,-16.16260573392674,-0.087365436399604
BHR,0.00037161569393969217,155,158.22187918910566,3.221879189105664,0.0207863173490688
BHS,0.0002033141440521499,129,146.36920678308897,17.36920678308897,0.1346450138223951
BIH,0.00023512609170167457,175,149.39772769208707,-25.602272307912926,-0.14629869890235958
BLR,0.0006684316501047448,164,167.86140400265603,3.8614040026560303,0.02354514635765872
BLZ,3.161990388720727e-05,129,100.49927926568336,-28.500720734316644,-0.22093581964586545
BMU,0.00013662900376346316,128,137.57706075522938,9.577060755229382,0.07482078715022955
BOL,0.00036001860563332505,158,157.64681804757888,-0.3531819524211244,-0.0022353288127919266
BRA,0.02440953859240137,193,192.67857854498558,-0.3214214550144163,-0.001665396139971069
BRB,0.0001066438079464993,160,131.74828507978222,-28.25171492021778,-0.17657321825136113
BRN,0.00023887589762663005,95,149.72099088307309,54.720990883073085,0.5760104303481377
BTN,1.9267399100867203e-05,75,87.46012209583577,12.460122095835771,0.16613496127781027
BWA,0.0001809674332724889,138,143.86925894652057,5.869258946520574,0.042530861931308506
CAF,3.2739790621892275e-05,109,101.42272763047552,-7.577272369524479,-0.06951626027086678
CAN,0.02358355936778879,189,192.61239062888643,3.6123906288864305,0.019113177930616034
CHE,0.010119520173348875,193,190.37922833715808,-2.6207716628419178,-0.013579127786745688
CHL,0.0029466223070772116,180,183.9690401664087,3.969040166408689,0.02205022314671494
CHN,0.08059679064060499,191,194.17659964738746,3.1765996473874623,0.016631411766426504
CIV,0.0005125117777838573,166,163.7388669363488,-2.2611330636511866,-0.013621283515971003
CMR,0.0003851949416212041,155,158.86619833916123,3.8661983391612296,0.024943215091362773
COD,0.00036873009468576146,105,158.0809964689686,53.08099646896861,0.5055332997044629
COG,0.00014110004202413012,123,138.3157533530733,15.31575335307329,0.12451831994368529
COL,0.00334948571052288,190,184.8742199046956,-5.125780095304407,-0.02697778997528635
COM,1.3474871518201716e-05,111,78.3166534846814,-32.683346515318604,-0.2944445632010685
CPV,2.175538192440663e-05,121,90.6278603980431,-30.372139601956903,-0.25100941819799094
CRI,0.0006578817819979891,168,167.62562405329828,-0.3743759467017185,-0.002228428254176896
CUB,0.0010410980052378783,160,173.86376426556674,13.863764265566743,0.08664852665979214
CYP,0.0003376552742046385,182,156.46686580435264,-25.533134195647364,-0.14029194612993057
CZE,0.0027590052250704906,193,183.47841672626961,-9.521583273730386,-0.04933462836129734
DEU,0.05299242286042206,194,193.79987808634178,-0.20012191365822218,-0.0010315562559702173
DMA,9.050207599283883e-06,134,68.56390904790979,-65.43609095209021,-0.4883290369558971
DNK,0.005028189783844102,194,187.33749440690767,-6.662505593092334,-0.034342812335527495
DOM,0.0007485752914208526,165,169.4987663047729,4.498766304772886,0.027265250331956883
DZA,0.0024943656678610105,170,182.69101671938176,12.691016719381764,0.07465303952577508
ECU,0.0011334603544966323,165,174.89259386698964,9.892593866989642,0.059955114345391775
EGY,0.0038128564953144616,178,185.72449913580678,7.724499135806781,0.043396062560712254
ERI,3.843993925675065e-05,86,105.68015162770523,19.68015162770523,0.2288389724151771
ESP,0.02047422328635726,193,192.32300847567038,-0.6769915243296225,-0.0035077281053348315
EST,0.0003553195751156444,184,157.40690805081252,-26.59309194918748,-0.14452767363688848
ETH,0.00040654425556571546,180,159.82130516767634,-20.178694832323657,-0.11210386017957587
FIN,0.003979721998842738,191,185.9918066963257,-5.00819330367429,-0.02622090734908005
FJI,6.697743398854648e-05,154,120.1925149976153,-33.807485002384695,-0.21952912339210842
FRA,0.03938321598606274,194,193.4457567081674,-0.5542432918325915,-0.0028569241847040796
FSM,5.612911798892853e-06,76,57.593139271044166,-18.406860728955834,-0.2421955359073136
GAB,0.00018613250876395074,151,144.4794013050481,-6.5205986949519,-0.043182772814250994
GBR,0.046673186329324975,195,193.65833491347144,-1.3416650865285646,-0.006880333777069562
GEO,0.00016160498917542425,147,141.3785594850893,-5.621440514910688,-0.038241091938167944
GHA,0.0004578233142491306,167,161.86776580719385,-5.132234192806152,-0.030731941274288334
GIN,0.00010742247007427065,147,131.92294149187657,-15.077058508123429,-0.10256502386478523
GMB,1.9585966919592892e-05,121,87.88631052718097,-33.11368947281903,-0.27366685514726474
GNB,1.4686210823148001e-05,75,80.48872200313832,5.488722003138321,0.07318296004184428
GNQ,0.00017257430672799336,88,142.83122597233776,54.83122597233776,0.62308211332202
GRC,0.004288219976699205,186,186.4419487292828,0.4419487292828137,0.002376068437004375
GRD,1.597769372223505e-05,125,82.63435931422862,-42.36564068577138,-0.33892512548617104
GRL,3.725270211409176e-05,73,104.84859364940812,31.848593649408116,0.43628210478641255
GTM,0.0007668297295419764,173,169.83791043454414,-3.162089565455858,-0.018277974366796866
GUM,9.534383391184779e-05,81,129.03390052503443,48.033900525034426,0.5930111175930176
GUY,5.249794171976244e-05,138,113.89135341157458,-24.108646588425415,-0.17470033759728562
HKG,0.003937699218513883,191,185.9261830828434,-5.073816917156591,-0.02656448647725964
HND,0.0002635659011517466,159,151.7019366068761,-7.298063393123897,-0.045899769768074826
HRV,0.0008858848964996678,182,171.8020728531933,-10.197927146806705,-0.056032566740696184
HTI,0.00021081691782722143,118,147.1339212482552,29.133921248255206,0.246897637697078
HUN,0.002028251703169061,177,180.93549795765915,3.935497957659152,0.0222344517381873
IDN,0.008876379600482943,194,189.90674516497222,-4.093254835027778,-0.02109925172694731
IND,0.01951973035302245,193,192.21863777750627,-0.7813622224937262,-0.00404850892483796
IRL,0.0037506739479436484,194,185.620095012869,-8.379904987130999,-0.04319538653160309
IRN,0.005958139966039554,172,188.20177021112897,16.201770211128974,0.09419633843679635
IRQ,0.0016776495281845352,104,179.15008621302692,75.15008621302692,0.7225969828175666
ISL,0.0002682155967436913,160,152.04892115786024,-7.951078842139765,-0.04969424276337353
ISR,0.0036619027427749447,180,185.4662125315048,5.4662125315047945,0.03036784739724886
ITA,0.03466157549613348,194,193.26673617185432,-0.7332638281456809,-0.00377971045435918
JAM,0.0002648476953945983,143,151.7983571958926,8.798357195892606,0.0615269733978504
JOR,0.00044651103103061115,161,161.44326918356464,0.44326918356463807,0.0027532247426375034
JPN,0.07543550060726772,194,194.1254354914129,0.125435491412901,0.0006465746980046443
KAZ,0.001933239407885798,146,180.50034434633957,34.500344346339574,0.23630372839958613
KEN,0.0007811841415157866,185,170.09677502285194,-14.903224977148056,-0.08055797284944895
KGZ,7.557689800894104e-05,110,123.26122489784058,13.261224897840577,0.12055658998036889
KHM,0.0002076776418494607,155,146.81809577794007,-8.181904222059927,-0.05278647885199953
KIR,2.3939300183056462e-06,69,40.36190287438288,-28.638097125617122,-0.415044885878509
KNA,1.325339822656263e-05,116,77.90084708873772,-38.09915291126228,-0.3284409733729507
KOR,0.019014925169347274,195,192.15986782106498,-2.840132178935022,-0.014564780404794985
KWT,0.001613929559731931,133,178.7643760869952,45.76437608699521,0.3440930532856783
LAO,0.0001202624922900386,96,134.60682034565647,38.60682034565647,0.4021543786005883
LBN,0.0005588394779094684,184,165.1255126311326,-18.874487368867392,-0.10257873570036626
LBR,3.1776042326983236e-05,120,100.62996102283343,-19.370038977166573,-0.1614169914763881
LBY,0.0013197803762038018,114,176.63900078480222,62.63900078480222,0.5494649191649318
LCA,2.811754115135361e-05,120,97.38752063055593,-22.612479369444074,-0.18843732807870062
LKA,0.0008181049339767636,181,170.7330509228075,-10.266949077192493,-0.056723475564599404
LSO,2.9749842874550784e-05,80,98.88254022865596,18.882540228655955,0.23603175285819944
LTU,0.0005744453548691945,166,165.5580255308272,-0.4419744691728056,-0.002662496802245817
LUX,0.0008398531371457059,176,171.08928258293494,-4.910717417065058,-0.027901803506051467
LVA,0.0004035835289436011,159,159.6928285660375,0.6928285660374911,0.004357412365015668
MAC,0.00041782834461750486,133,160.29990259506872,27.299902595068716,0.20526242552683244
MAR,0.0012824400041928474,178,176.318939373124,-1.6810606268759898,-0.00944416082514601
MDA,9.891196369061379e-05,152,129.92947381347508,-22.070526186524916,-0.14520083017450602
MDG,0.00015411682099778778,164,140.3169176322418,-23.683082367758203,-0.14440903882779393
MDV,3.903645683621469e-05,95,106.08812418418424,11.088124184184238,0.11671709667562356
MEX,0.01791415308260308,192,192.02207600966315,0.022076009663152263,0.00011497921699558471
MHL,3.0412500787716377e-06,70,44.875305834726106,-25.124694165273894,-0.35892420236105566
MKD,0.00013082942280427006,153,136.57499288013722,-16.425007119862784,-0.10735298771152146
MLI,0.00019183492144249692,148,145.12948844115616,-2.8705115588438446,-0.019395348370566518
MLT,0.00013054707802896096,169,136.52487275097423,-32.475127249025775,-0.1921605162664247
MMR,0.0004417848073568112,108,161.26166501556048,53.26166501556048,0.49316356495889335
MNG,9.321141016635433e-05,117,128.4800810479505,11.480081047950506,0.09812035083718382
MNP,2.433800036378464e-05,61,93.57442649584512,32.57442649584512,0.5340069917351659
MOZ,0.00014186485827801155,155,138.43932660898616,-16.560673391013836,-0.10684305413557313
MRT,7.436613284711795e-05,135,122.8534213135914,-12.146578686408603,-0.08997465693636002
MUS,0.00014364171988059336,173,138.72338298564006,-34.27661701435994,-0.19813073418705168
MWI,9.39639888786241e-05,150,128.67718170415773,-21.322818295842268,-0.14215212197228178
MYS,0.003333758915297755,195,184.84212717203525,-10.157872827964752,-0.05209165552802437
NAM,0.0001272556964059351,164,135.9309900087232,-28.0690099912768,-0.17115249994680976
NER,9.991347763698879e-05,138,130.17416961281407,-7.825830387185931,-0.05670891584917341
NGA,0.00488694282483205,138,187.18342471776063,49.18342471776063,0.3564016283895698
NIC,0.00015260324868021378,156,140.09480338782205,-15.905196612177946,-0.10195638853960222
NLD,0.0123460047882982,195,191.0233084381262,-3.9766915618737926,-0.020393290060891245
NOR,0.0060633077478459705,189,188.2858715084422,-0.7141284915578012,-0.0037784576272899537
NPL,0.00028307001132903023,111,153.10842073923558,42.108420739235584,0.37935514179491514
NRU,8.882216679094018e-07,69,24.628880960146635,-44.37111903985337,-0.643059696229759
NZL,0.0025901239348645687,191,182.99027695203532,-8.009723047964684,-0.04193572276421301
OMN,0.0008612457151222834,148,171.42723179828621,23.427231798286215,0.15829210674517713
PAK,0.003759382731838837,194,185.6348814036125,-8.365118596387504,-0.043119168022616
PAN,0.0004689723224494762,143,162.27270183085759,19.272701830857585,0.13477413867732577
PER,0.0019223508093147157,178,180.4484026315697,2.4484026315697065,0.013755070963874756
PHL,0.003199390850723783,187,184.55789625668424,-2.442103743315755,-0.013059378306501364
PLW,4.9465667462381015e-06,38,54.83996786494966,16.839967864949656,0.44315704907762254
PNG,0.00021868816279757325,90,147.9009215423938,57.9009215423938,0.6433435726932645
POL,0.0058536217486360904,195,188.11577554228182,-6.884224457718176,-0.03530371516778552
PRT,0.003606817541528792,190,185.3677270204513,-4.632272979548702,-0.024380384102887905
PRY,0.00040749898705731355,137,159.86247237891246,22.862472378912457,0.16687936043001794
PSE,0.00015589929509367736,56,140.5751638329807,84.5751638329807,1.5102707827317983
PYF,0.00010026834337283045,156,130.26019411040747,-25.73980588959253,-0.16499875570251624
QAT,0.0008895154521012659,149,171.85605905553922,22.85605905553922,0.15339636950026322
ROU,0.002406474123060422,190,182.40031078796952,-7.5996892120304835,-0.03999836427384465
RUS,0.01874772051247743,188,192.12767864612658,4.127678646126583,0.021955737479396716
RWA,7.203730399675369e-05,137,122.04773056223593,-14.952269437764073,-0.1091406528303947
SAU,0.008008758673251966,176,189.50706044173333,13.50706044173333,0.07674466160075756
SDN,0.0008941691600133051,140,171.92480476125826,31.924804761258258,0.22803431972327326
SEN,0.00022426875347430513,166,148.42431054355308,-17.575689456446923,-0.10587764732799351
SGP,0.0031804234281789115,176,184.51626310830744,8.516263108307442,0.048387858569928645
SLB,1.5128895216725463e-05,95,81.24266670443735,-13.757333295562646,-0.1448140346901331
SLE,8.271890247735319e-05,117,125.52625223671815,8.52625223671815,0.07287395074118078
SLV,0.00033886861143128227,163,156.53345323486852,-6.466546765131483,-0.039672066043751425
SMR,3.1425713189149066e-05,55,100.33585375059583,45.33585375059583,0.8242882500108333
SOM,5.229929036148208e-05,86,113.79228880134656,27.792288801346558,0.32316614885286693
STP,3.1402246515922084e-06,98,45.49928129704635,-52.50071870295365,-0.5357216194178944
SUR,6.72670299665765e-05,126,120.30283133101261,-5.697168668987388,-0.04521562435704276
SVK,0.0010936964886358422,192,174.46505021469974,-17.534949785300256,-0.0913278634651055
SVN,0.000681625476924288,191,168.14915095473384,-22.85084904526616,-0.11963795311657675
SWE,0.007439434002937379,193,189.2039737862399,-3.7960262137600864,-0.01966852960497454
SWZ,5.117240720747799e-05,125,113.2226125086324,-11.777387491367605,-0.09421909993094084
SYC,1.669695635883185e-05,133,83.76228240535984,-49.23771759464016,-0.37020840296721924
SYR,0.00047373169107193294,158,162.44167722270313,4.4416772227031345,0.028111881156348953
TCD,0.00017554253763237787,95,143.2051955697781,48.20519556977811,0.5074231112608223
TGO,6.570475355569012e-05,143,119.70138414228607,-23.298615857713926,-0.16292738362037712
THA,0.005148633871036417,193,187.4634871290148,-5.536512870985206,-0.028686595186451842
TJK,7.637529239429178e-05,87,123.5261481621646,36.5261481621646,0.41984078347315634
TKM,0.00023634597775529427,90,149.50359319513785,59.50359319513785,0.6611510355015316
TLS,1.6306756297362277e-05,114,83.15597994194674,-30.84402005805326,-0.2705615794566075
TON,7.313464709051551e-06,69,63.56444712460093,-5.435552875399068,-0.078776128628972
TTO,0.00034809449379545306,160,157.02988440530982,-2.970115594690185,-0.018563222466813654
TUN,0.0006040214200897527,177,166.33545195347844,-10.66454804652156,-0.06025168387865288
TUR,0.009427150401311958,191,190.12872464864583,-0.8712753513541713,-0.004561651054210321
TUV,5.079540136038379e-07,65,17.905949015127135,-47.094050984872865,-0.7245238613057364
TZA,0.00046166831598556723,169,162.00888731037014,-6.991112689629858,-0.041367530707868985
UGA,0.0003014698709934961,157,154.32689952847292,-2.6731004715270785,-0.017026117653038717
UKR,0.001801653860253168,182,179.8412219808729,-2.158778019127112,-0.011861417687511606
